,device_tag,mac_address,timestamps,quaternions_0,quaternions_1,quaternions_2,quaternions_3,accelerations_0,accelerations_1,accelerations_2
0,Movella DOT,D4:22:CD:07:AA:FB,0,0.22153408825397491,0.01311508473008871,0.005575475282967091,0.9750486016273499,135.00790405273438,-5.791363716125488,55.083274841308594
0,Movella DOT,D4:22:CD:07:A7:43,0,0.6262082457542419,-0.0029327692463994026,0.005465109832584858,0.7796310782432556,0.07673606276512146,-0.30680030584335327,0.5079945921897888
1,Movella DOT,D4:22:CD:07:A7:43,16667,0.6260904669761658,-0.003012606641277671,0.005284452810883522,0.7797266840934753,-0.1110575869679451,0.026163365691900253,10.182610511779785
1,Movella DOT,D4:22:CD:07:AA:FB,16667,0.22220125794410706,0.013022355735301971,0.005442309193313122,0.9748987555503845,0.18899542093276978,0.1474643498659134,9.687682151794434
2,Movella DOT,D4:22:CD:07:A7:43,33334,0.6258151531219482,-0.0031507997773587704,0.005007790867239237,0.7799490690231323,-0.12600192427635193,0.01104154996573925,10.196115493774414
2,Movella DOT,D4:22:CD:07:AA:FB,33334,0.22196313738822937,0.012771543115377426,0.005301704630255699,0.9749570488929749,0.17957234382629395,0.13608884811401367,9.688222885131836
3,Movella DOT,D4:22:CD:07:AA:FB,50001,0.2216615378856659,0.012454645708203316,0.005124048795551062,0.9750307202339172,0.18801644444465637,0.15093211829662323,9.682863235473633
3,Movella DOT,D4:22:CD:07:A7:43,50001,0.6256510019302368,-0.003388767596334219,0.0047139269299805164,0.7800816297531128,-0.1374940574169159,0.006541786249727011,10.177901268005371
4,Movella DOT,D4:22:CD:07:AA:FB,66668,0.22149112820625305,0.012253263965249062,0.005016493145376444,0.9750725626945496,0.18680913746356964,0.14226803183555603,9.689101219177246
4,Movella DOT,D4:22:CD:07:A7:43,66668,0.6254453659057617,-0.0036828715819865465,0.0044526588171720505,0.7802466750144958,-0.12682189047336578,0.016069676727056503,10.198750495910645
5,Movella DOT,D4:22:CD:07:A7:43,83335,0.6254716515541077,-0.003913030959665775,0.004230809863656759,0.7802257537841797,-0.11809713393449783,0.03033795952796936,10.18021011352539
5,Movella DOT,D4:22:CD:07:AA:FB,83335,0.22130775451660156,0.012126120738685131,0.004915256984531879,0.9751163125038147,0.18379870057106018,0.15813426673412323,9.670495986938477
6,Movella DOT,D4:22:CD:07:A7:43,100002,0.6251797080039978,-0.0040792603977024555,0.004039141349494457,0.7804597020149231,-0.09925059974193573,0.006806608289480209,10.158134460449219
6,Movella DOT,D4:22:CD:07:AA:FB,100002,0.22130656242370605,0.012068509124219418,0.00483695138245821,0.9751176834106445,0.22072798013687134,0.12762004137039185,9.662369728088379
7,Movella DOT,D4:22:CD:07:AA:FB,116669,0.2212897390127182,0.012091695331037045,0.004737058654427528,0.9751216769218445,0.2080053836107254,0.13667522370815277,9.766220092773438
7,Movella DOT,D4:22:CD:07:A7:43,116669,0.625200629234314,-0.004203164950013161,0.0038238868582993746,0.780443549156189,-0.08684593439102173,0.026355424895882607,10.254127502441406
8,Movella DOT,D4:22:CD:07:A7:43,133336,0.6250433921813965,-0.004303982015699148,0.003634336404502392,0.7805697917938232,-0.12516847252845764,0.03879598528146744,10.172053337097168
8,Movella DOT,D4:22:CD:07:AA:FB,133336,0.22122007608413696,0.012131926603615284,0.0046173823066055775,0.9751375913619995,0.204207643866539,0.16952994465827942,9.643523216247559
9,Movella DOT,D4:22:CD:07:AA:FB,150003,0.22113098204135895,0.01222006045281887,0.004552337806671858,0.9751570224761963,0.2112402468919754,0.16539502143859863,9.699997901916504
9,Movella DOT,D4:22:CD:07:A7:43,150003,0.6251235604286194,-0.004382185637950897,0.003473233664408326,0.7805059552192688,-0.130509614944458,0.06661035120487213,10.197340965270996
10,Movella DOT,D4:22:CD:07:A7:43,166670,0.6251391172409058,-0.004453121218830347,0.0033548919018357992,0.7804935574531555,-0.11566638946533203,0.04457820579409599,10.197559356689453
10,Movella DOT,D4:22:CD:07:AA:FB,166670,0.22119250893592834,0.012308030389249325,0.004491516388952732,0.9751421809196472,0.19829155504703522,0.16095970571041107,9.678548812866211
11,Movella DOT,D4:22:CD:07:A7:43,183337,0.6252386569976807,-0.004507917445152998,0.0032431744039058685,0.7804138660430908,-0.12480058521032333,0.01626000739634037,10.180148124694824
